                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0094,                 1.1406,                 1.4811,                0.76102,                0.68868,                0.77521,                0.55512,                 1.0396,                 1.0382,                  1.349,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0044,                 1.1412,                  1.479,                0.75665,                0.70623,                  0.778,                0.55185,                 1.0332,                 1.0287,                 1.3477,               0.000614,               0.000614,               0.000614
                     37,                0.99411,                 1.1301,                 1.4716,                0.78588,                0.69594,                0.78074,                0.55412,                 1.0461,                 1.0326,                 1.3563,              0.0005744,              0.0005744,              0.0005744
                     38,                0.98178,                 1.1071,                 1.4623,                0.78131,                0.70029,                0.77911,                0.55365,                 1.0475,                 1.0328,                 1.3599,              0.0005348,              0.0005348,              0.0005348
                     39,                0.99136,                 1.1163,                 1.4691,                0.77884,                0.72279,                0.78466,                0.55998,                  1.045,                 1.0178,                  1.352,              0.0004952,              0.0004952,              0.0004952
                     40,                0.97524,                 1.0917,                 1.4597,                0.78171,                0.69386,                0.78938,                0.56598,                 1.0401,                 1.0066,                 1.3494,              0.0004556,              0.0004556,              0.0004556
                     41,                0.92779,                0.86198,                 1.4406,                0.80503,                0.69013,                0.78658,                0.56754,                 1.0122,                 1.0025,                 1.3246,               0.000416,               0.000416,               0.000416
                     42,                0.91684,                0.83113,                 1.4327,                0.81093,                0.68475,                0.79029,                0.57077,                 1.0138,                 1.0013,                 1.3259,              0.0003764,              0.0003764,              0.0003764
                     43,                0.89051,                0.80708,                  1.413,                0.80915,                 0.6738,                0.78611,                0.57783,                0.99635,                0.98527,                 1.3196,              0.0003368,              0.0003368,              0.0003368
                     44,                0.88673,                0.79425,                 1.4095,                0.80667,                0.69644,                0.79574,                0.58179,                0.99299,                0.96964,                 1.3136,              0.0002972,              0.0002972,              0.0002972
                     45,                0.87779,                0.77215,                    1.4,                0.81291,                0.69666,                0.79696,                0.58205,                0.99465,                0.96917,                 1.3146,              0.0002576,              0.0002576,              0.0002576
                     46,                0.86254,                0.76502,                 1.3867,                0.81596,                0.70392,                0.79851,                0.58286,                0.99122,                0.96693,                 1.3116,               0.000218,               0.000218,               0.000218
                     47,                0.85318,                0.74255,                 1.3786,                0.79198,                 0.7148,                0.79961,                0.58366,                0.99839,                0.95534,                 1.3239,              0.0001784,              0.0001784,              0.0001784
                     48,                0.84473,                0.73653,                 1.3735,                0.80627,                 0.7148,                0.79862,                0.58113,                 1.0034,                0.96125,                 1.3264,              0.0001388,              0.0001388,              0.0001388
                     49,                0.83498,                0.72575,                 1.3651,                0.79199,                0.73004,                0.80137,                0.58421,                 1.0029,                 0.9544,                 1.3275,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.83511,                0.71661,                 1.3653,                 0.7945,                0.71408,                0.79768,                0.58235,                0.99398,                0.95456,                 1.3213,               5.96e-05,               5.96e-05,               5.96e-05
